source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_DiT_1,322,0.94,0.8,0.77,0.86,0.97,1.08,0.74,0.83,0.83,0.93
User_DiT_1,330,0.91,0.8,0.74,0.84,0.33,0.88,0.24,0.65,0.28,0.74
User_DiT_1,333,1.0,0.52,0.52,0.67,1.14,1.04,0.6,0.54,0.77,0.7
User_DiT_1,339,0.88,0.84,0.74,0.84,1.73,1.01,1.27,0.74,1.45,0.85
User_DiT_1,347,1.0,0.8,0.8,0.87,0.64,1.03,0.51,0.83,0.56,0.9
User_DiT_1,356,0.91,0.48,0.44,0.62,1.8,1.17,0.78,0.51,1.12,0.73
User_DiT_1,365,0.85,0.76,0.64,0.78,1.21,1.15,0.78,0.73,0.94,0.89
User_DiT_1,370,0.97,0.64,0.63,0.75,0.77,0.85,0.48,0.53,0.58,0.63
User_DiT_1,389,0.4,0.44,0.17,0.39,2.06,0.83,0.36,0.14,0.8,0.33
User_DiT_1,392,0.91,0.76,0.7,0.82,0.39,0.96,0.27,0.67,0.32,0.79
User_DiT_1,394,0.95,0.56,0.55,0.68,2.35,1.1,1.29,0.61,1.61,0.75
User_DiT_1,396,0.97,0.8,0.78,0.88,0.19,0.81,0.15,0.63,0.17,0.71
User_DiT_1,400,0.98,0.4,0.39,0.54,0.37,1.16,0.15,0.45,0.2,0.62
User_DiT_1,405,0.67,0.52,0.34,0.49,0.59,1.07,0.2,0.36,0.29,0.52
User_DiT_1,406,0.93,0.72,0.65,0.79,1.37,0.82,0.9,0.53,1.08,0.64
User_DiT_1,413,0.57,0.52,0.31,0.47,0.46,1.05,0.14,0.33,0.22,0.49
User_DiT_1,415,0.83,0.48,0.4,0.6,0.9,0.81,0.36,0.32,0.54,0.48
User_DiT_1,419,0.62,0.36,0.27,0.41,0.92,0.66,0.25,0.18,0.37,0.27
User_DiT_1,421,0.74,0.56,0.43,0.63,2.04,0.88,0.87,0.38,1.28,0.55
User_DiT_1,426,0.59,0.44,0.26,0.49,1.2,0.83,0.31,0.22,0.58,0.41
User_DiT_1,429,0.8,0.96,0.76,0.78,0.49,1.04,0.37,0.79,0.38,0.81
User_DiT_1,432,0.73,0.36,0.28,0.45,1.24,1.06,0.35,0.3,0.56,0.48
User_DiT_1,443,0.62,0.68,0.46,0.56,0.24,0.73,0.11,0.33,0.13,0.41
User_DiT_1,446,0.69,0.6,0.41,0.61,1.46,0.98,0.6,0.41,0.89,0.6
User_DiT_1,453,0.68,0.44,0.33,0.51,0.59,0.82,0.19,0.27,0.3,0.42
User_DiT_1,461,0.91,0.88,0.8,0.89,0.49,0.86,0.39,0.69,0.43,0.77
User_DiT_1,477,0.36,0.56,0.2,0.34,3.27,1.05,0.65,0.21,1.11,0.36
User_DiT_1,479,0.34,0.6,0.24,0.35,0.53,0.82,0.13,0.2,0.19,0.29
User_DiT_1,481,0.48,0.48,0.3,0.45,0.49,0.83,0.15,0.25,0.22,0.38
User_DiT_1,488,0.83,0.76,0.72,0.79,1.18,1.13,0.84,0.81,0.93,0.89
User_DiT_1,499,0.8,0.6,0.44,0.56,1.23,1.03,0.54,0.45,0.68,0.57
User_DiT_1,529,0.85,0.44,0.38,0.56,3.36,0.82,1.28,0.31,1.88,0.46
User_DiT_1,535,0.85,0.56,0.48,0.66,0.53,1.02,0.25,0.49,0.35,0.68
User_DiT_1,554,0.0,0.52,0.0,0.0,1.36,1.04,0.0,0.0,0.0,0.0
User_DiT_1,567,0.95,0.56,0.53,0.7,4.71,1.14,2.49,0.6,3.29,0.8
User_DiT_1,575,0.83,0.36,0.3,0.48,0.68,0.71,0.2,0.21,0.33,0.34
User_DiT_1,585,0.37,0.36,0.18,0.25,1.29,0.96,0.23,0.17,0.33,0.24
User_DiT_1,590,0.83,0.6,0.51,0.69,1.19,0.99,0.61,0.51,0.82,0.68
User_DiT_1,605,0.54,0.4,0.28,0.41,4.06,0.9,1.13,0.25,1.65,0.36
User_DiT_1,606,0.57,0.56,0.34,0.46,1.04,0.83,0.35,0.28,0.48,0.38
User_DiT_1,626,0.66,0.56,0.39,0.57,3.24,1.04,1.27,0.41,1.84,0.59
User_DiT_1,632,0.75,0.48,0.36,0.55,0.87,0.82,0.32,0.3,0.48,0.45
User_DiT_1,633,0.81,0.64,0.51,0.67,1.18,1.16,0.6,0.59,0.79,0.78
User_DiT_1,634,0.21,0.56,0.12,0.22,0.55,0.9,0.07,0.11,0.12,0.19
User_DiT_1,645,0.91,0.52,0.47,0.65,0.58,0.95,0.28,0.45,0.38,0.61
User_DiT_1,654,0.75,0.6,0.46,0.57,1.15,0.96,0.53,0.44,0.66,0.54
User_DiT_1,679,0.49,0.56,0.28,0.49,0.89,1.06,0.25,0.29,0.43,0.52
User_DiT_1,687,1.0,0.92,0.92,0.96,0.32,0.76,0.3,0.7,0.31,0.72
